transactionType,date,inBuyAmount,inBuyAsset,outSellAmount,outSellAsset,feeAmount (optional),feeAsset (optional),classification (optional),operationId (optional)
withdraw,03/11/2022 00:46:03,,,250000000.000000,ustake,,,,7E8DBD87AF88E3AE52E9DC7369A365B0D717516D4D42584246F455496C943E71
withdraw,03/11/2022 00:57:59,,,250000000.000000,ustake,,,,DF36E432D3D2E0BC8EB91E53740DB66BB3DA0066AA5246488C3188E1A0920EE1
deposit,03/11/2022 01:32:19,15077.000000,ustake,,,,,staked,7C1783C64E34EB7BB415BA1041133E2B7AAC85E8B1958BF8F536690B1F6D210C
deposit,03/11/2022 01:32:19,6803.000000,ustake,,,,,staked,7C1783C64E34EB7BB415BA1041133E2B7AAC85E8B1958BF8F536690B1F6D210C
withdraw,03/11/2022 15:16:31,,,250000000.000000,ustake,,,,142D165C902E2CD14264691AC247C6ED7BDDC9BA94797120BFF41124C1C77BD7
